地區,村里碼,姓名,號次,性別,出生年次,推薦政黨,得票數,得票率,當選註記,是否現任,編碼,學歷,經歷,政見,unique
臺北市萬華區菜園里,5,周世雄,1,男,1974,無黨籍及未經政黨推薦,1838,0.5465,1,否,710007051,華江國小雙園國中木柵高工東南工專世新大學（碩士）,大通地政士事務所負責人鴨炸食品有限公司負責人臺北市萬華區後備軍人輔導中心主任臺北市萬華區青溪協會理事臺北市萬華區民眾服務社理事臺北市萬華區武昌義警分隊分隊長臺北市萬華區青工會會長大蜀山社會關懷協會理事救國團萬華區團委會副會長,一、多點設立AED自動體外電擊器，快速急救。二、樂齡老人共餐、送餐服務。三、捷運最後一哩，免費接駁巴士。四、設立水撲滿，狗便清理好方便。五、爭取老舊公寓加裝電梯經費補助。六、輔導老屋參與危險及老舊建築物重建條例。七、打造明亮多功能之里辦公場所。八、汰換第二水門外親水公園設施。九、治安零死角，增設安控不足部分。十、建立獨居老人、單親家庭關懷熱線。,1
臺北市萬華區菜園里,5,紀昱全,2,男,1979,民主進步黨,1525,0.4534,0,否,710007052,開南商工,臺北大學公共政策暨行政管理法治研習班西門國小家長會會長民主進步黨萬華區主任艋舺龍津宮常務委員義勇警察大隊副中隊長華一國際KAWA咖啡創辦人,"1.維護居住安全,持續推動電力地下化2.振興河濱第二商場,打造特色商區街道3.整治河岸環境,打造龍山親水公園4.廣設UBIKE自行車站,提升社區交通便利性5.協助辦理危老建物更新,推動菜園新社區6.重視台北第一街榮景,推動貴陽觀光街區計畫7.爭取社區長照據點及醫療照護資源8.關懷弱勢家庭,關心社區小朋友,年長者",1
臺北市萬華區和平里,16,林文聰,1,男,1956,無黨籍及未經政黨推薦,1850,0.4937,0,否,710007161,雙園國中畢業,一、94至98年擔任和平里電腦班講師。二、95至98年擔任和平社區發展協會總幹事。三、101至104年擔任和德社區發展協會總幹事。四、台灣閩南語歌唱協會總幹事。五、71年創立久而久電子公司至今，72年發明產品代表台灣隊獲得國際發明銀牌獎。六、94及95年度熱心服務和平里獲市政府頒發獎勵狀。,和平里16年來幾乎沒有重大改變，換人做一定『大改變』。1.和平里服務辦公處「改變」-假日無休，每天服務到晚上10點。2.每年30萬建設經費「改變」-設置社區照顧關懷中心及老人娛樂中心。3.每個月補助3萬租金「改變」-設置多處的里民活動中心。4.和平青草園「改變」為和平百花園，種植櫻花樹及四季花卉。5.中原夜市路面「改變」為人行道地磚，提昇夜市形象，帶動人潮。6.西園路二段96巷「改變」拓寬人行道種植櫻花樹及四季花卉。7.推動都市更新「改變」提昇房屋價值及居住環境的生活品質。8.設置資源回收站及收集統一發票增加和平里睦鄰基金，發放給弱勢里民及重陽敬老金。古意人~惦惦用心~骨力做~協助里民爭取各項福利補助款。,1
臺北市萬華區和平里,16,吳淑芬,2,女,1967,無黨籍及未經政黨推薦,1897,0.5062,1,否,710007162,雙園國中畢業,現任和平社區發展協會理事長,1.善盡里長基本責任，讓路會平、水溝會通、路燈會亮、全力改善環境與生活品質。2.定期舉辦社區居民自我成長課程、以提昇社區居民具備第二專長、或充實閒暇之餘的休閒活動。3.與分局以及派出所保持密切配合、防止社區犯罪、確保本社區全體里民生命財產的安全。4.提昇社區意識、整合社區資源、落實社區主義。5.繼續尋找妥適地點、進行景觀改善計畫、並加強公共設施的闢建、以提昇社區居民都市更新的意願，並全力協助本里須都市更新之區塊、以加速完成老舊房屋之改建，讓本里得以脫胎換骨、改頭換面。6.排解里內紛爭、促進地方和諧與團結。7.定期舉辦聯誼活動，連絡社區居民感情、並凝聚社區向心力。8.注重老人以及兒童活動、並關懷弱勢、協助爭取各項福利。9.全心專職、不分黨派、服務里民、結合地方各社團組織、共創社區和諧進步。,1
臺北市文山區興業里,17,凌錦成,1,男,1953,無黨籍及未經政黨推薦,1596,0.5118,1,否,710008171,淡水工商管理專科學校企業管理科畢業,①元大證券(股)公司經理。②香格里拉花園社區主委。③興隆國民小學家長會會長。④興福、萬芳國中家長會顧問。⑤中華民國傳悅愛心協會志工。,1.走入社區，傾聽民聲，關懷所需，用心回應。2.公開里內回饋金使用範疇，供里民了解實際受惠內容。3.定期舉辦睦鄰、聯誼活動，促進里民互動，營造溫馨有愛興業里。4.結合社福資源，關懷里內老人，照顧弱勢族群，協助申請相關權益。5.加強里內環境美化、落實環保政策、招募環保志工，提升里民生活品質。6.爭取增設閉路式錄影(CCTV)監視系統，成立社區巡守隊，藉由警民合作，提升居家安全。,1
臺北市文山區興業里,17,劉紹茵,2,女,1972,中國國民黨,1522,0.4881,0,否,710008172,景文商專方濟高中興福國中興隆國小,中華服裝交流協會講師雪謙文化出版社發行人徐薇文教機構企劃主任,傳承20年在地經驗、注入青年人新思維新行動邀請您共同打造「關懷‧共享‧安全‧便利‧美好」新興業里一、關懷：擴大共餐、送餐服務 / 開設多元適齡課程 / 舉辦免費三高健檢 / 提供短期輔具租借。二、共享：舉辦里民座談會 / 回饋金實際用於里民 / 組織多元志工隊。三、安全：推動電線桿地下化 / 增設巷弄監視器 / 裝設社區AED(傻瓜電擊器)。四、便利：設立興業里line＠生活圈 / 爭取增建地下停車場 / 推動老屋電梯設置。五、美好：舉辦社區清潔日 / 推動巷弄牆面彩繪 / 培育綠化種子人員 ／ 建立社區綠化維管系統。,1
臺北市南港區聯成里,15,成芓漩,1,女,1973,中國國民黨,1234,0.4228,0,否,710009151,高中畢,聯成里環保志工聯成里公園志工成德國小愛心志工成德國小導護志工聯成里里鄰應變小組組員中國國民黨南港區聯成里書記,一、以最大熱忱為里民服務，強化公部門聯繫，增取社會福利，加強長者、幼兒、身障者弱勢關懷。二、爭取經費補助，里內黑暗巷道申請安裝感應式照明，維護學童、夜歸婦女人身安全、居家保障。三、配合環保局清潔隊定期消毒杜絕傳染病媒蚊孳生，讓里內居住環境整潔又乾淨、家家健康無虞。四、不定期安排環保參訪活動，舉辦法律常識、健康醫療講座，邀請里民參與，達到終身學習目的。五、結合資源與環保志工，美化社區環境與公園綠地，道路交通標線清楚繪製，創造優質居住環境。六、配合社區健康服務中心，推廣居家照護長照服務，關心里民生活健康安全保障，提升居住品質。,1
臺北市南港區聯成里,15,鮑黎登,2,男,1953,中國國民黨,1684,0.5771000000000001,1,否,710009152,中國文化大學國際企業管理研究所國際企業組碩士政戰學校65年班法律系,中國國民黨現任黨代表、黃復興黃國樑黨部考核委員、南港區常委臺北市第10、11、12屆里長選舉候選人國防部聯勤司令部上校法務組長法務部司法官訓練所法制班隊長臺北市南港後備軍人輔導中心顧問財團法人榮民榮眷基金會監察人浩翰法律事務所法務主任,一、持續推動都市更新，使聯成里社區邁向現代化。二、設置聯成里社區廣播系統，加強防颱與防震應變及政令等宣導。三、加強聯成里老、中、青、少、幼等五階層民眾在社區之休閒設施，配合政府政策協助長者長照服務及幼兒托育服務，活化聯成里生活品質。四、規劃聯成里汽、機車停車格設置，檢討修正設置不當之停車格，增加停車率。五、響應綠化環保，聯成里中秋節不辦烤肉，將相關回饋經費舉辦環保宣導活動回饋於里民。六、依社區里民實際需要或依法超過3%成年里民同意，必要時召開里民大會。七、重新規劃聯成里公佈欄設置張貼，美化社區環境。八、各節慶之里民大型活動輪流至各鄰適當場所舉辦，由各鄰代表協助辦理，擴大參與。,1
新竹縣竹北市斗崙里,1,張琬媃,1,女,1991,無黨籍及未經政黨推薦,1790,0.5227,1,否,770101011,"中華大學營建管理學系碩士
中華大學營建管理學系學士
中華大學景觀建築學系輔系","一、現任新竹縣奧林匹克單車運動休閒協
會副總幹事。
二、中華民國斐陶斐榮譽學會榮譽會員。
三、駐地輔導實施計畫社區規劃師。
四、台灣世曦工程顧問公司專案研究計劃
案研究助理。
五、中華大學營建管理學系101學年度系學會會長。","一、建立e化交流平台，增進里民間之情感。
二、打造社區文化特色，推動社區總體營造計畫。
三、里內弱勢族群急難救助及社會福利轉介服務。
四、開辦各項學藝課程及料理教室，建立年輕活力之社區。
五、努力爭取各項經費，以增設社區內基層建設，維護里民安全。
六、打造社區安全維護網，保障婦幼安全。
七、結合鄰近醫療院所，定期做社區醫療服務。
八、不定期舉辦戶外活動及文康活動，凝聚里民情感。
九、結合社會資源與社區愛心志工，配合政府長期照顧服務規劃。
十、落實為民服務，親力親為。",1
新竹縣竹北市斗崙里,1,鄭智銘,2,男,1986,中國國民黨,1634,0.4772,0,否,770101012,"博愛國小
博愛國中
成德高中
輔仁大學-
體育系","台元運動健身中心-健身
教練
台積電-運動會特聘指導
教練
教育部體育署-救生員
陸軍步兵下士-關西營區
-教育班長
美國運動體適能協會-健
身證照講師","1.勤快、踏實、效率的精神全方位為民服務。
2.積極爭取經費讓路平、燈亮、水溝通。
3.迎接斗崙都市發展，落實地方各項基礎建設。
4.配合並協助各單位及社區辦理文化、環保、婦女、親子、敬老等工作及活動。
5.活化公園及廣場使用，加強並維護休閒、育樂運動、親子等設施多功能使用。
6.積極爭取監視系統、加強治安配套政策、重視街道環境衛生、全面提升生活品
質。",1
